Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Temps,Score
Installer un système de détection incendie en extérieur,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Chaleur extrême; Vague de chaleur; Stress Hydrique; Feux de forêt,Technique,Capital humain,50 000 €,2,Court terme,0
Créer une bande coupe-feu désherbée et débroussaillée autour du site,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Chaleur extrême; Vague de chaleur; Stress Hydrique,Organisationnelles,OPEX majoritaire – main d’œuvre,250 000 €,10,Long terme,0
Installer des capteurs intelligents dans les zones de stockage,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Chaleur extrême; Vague de chaleur; Fortes pluies; Inondation pluie; Inondation nappe; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Élaborer des protocoles flexibles de stockage selon les prévisions climatiques,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Tempêtes; Chaleur extrême; Vague de chaleur; Fortes pluies,Organisationnelles,OPEX majoritaire – main d’œuvre,50 000 €,2,Moyen terme,1
Utiliser des contenants pour réactifs chimiques adaptés aux fortes chaleurs,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Chaleur extrême; Vague de chaleur; Modif T° air; Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe; Tempêtes,Technique,CAPEX majoritaire – court terme,250 000 €,10,Court terme,0
Mettre en place des réserves d’eau de pluie,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Chaleur extrême; Vague de chaleur; Stress Hydrique; Feux de forêt,Technique,CAPEX majoritaire > court terme,250 000 €,10,Long terme,2
Réviser les plans de contingence logistique et traitement,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Tous risques climatiques extrêmes; Fortes pluies; Inondation fluviale; Inondation pluie; Inondation nappe; Tempêtes; Chaleur extrême; Vague de gel,Organisationnelles,OPEX majoritaire – main d’œuvre,250 000 €,10,Long terme,1
Connecter les capteurs d’émissions gazeuses à un système centralisé,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Chaleur extrême; Vague de chaleur; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire – court terme,250 000 €,10,Court terme,7
Mettre en place un plan de sécurité et de continuité d’activité pour toute la chaîne,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Tous risques climatiques extrêmes; Fortes pluies; Inondation fluviale; Inondation pluie; Tempêtes; Chaleur extrême; Vague de gel,Organisationnelles,OPEX majoritaire – main d’œuvre,250 000 €,10,Long terme,0
Assurer la continuité des collectes et du transport des déchets,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Fortes pluies; Inondation fluviale; Inondation pluie; Inondation nappe; Tempêtes; Chaleur extrême; Vague de gel; Vague de chaleur; Modif T° air; RGA; Stress Hydrique; Non listé: feu; Non listé: submersion marine,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
"Maintenir un stock stratégique de pneus, filtres et pièces essentielles","Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes pluies et inondations menacent la continuité des activités.",Chaleur extrême; Vague de chaleur; Tempêtes; Vague de gel,Technique,OPEX majoritaire – court terme,250 000 €,10,Court terme,0
Optimiser les itinéraires pour éviter les zones à risque,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Inondation fluviale; Inondation pluie; Inondation nappe; Fortes pluies; RGA; Tempêtes,Organisationnelles,OPEX majoritaire – main d’œuvre,15 000 €,1,Moyen terme,0
Renforcer les effectifs lors des périodes de forte vulnérabilité,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes pluies et inondations menacent la continuité des activités.",Vague de chaleur; Chaleur extrême; Vague de gel; Tempêtes,Ressources humaines,OPEX majoritaire – main d’œuvre,30 000 €,1,Moyen terme,4
Organiser les tâches les plus pénibles aux heures les plus fraîches,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Modif T° air,Organisationnelles,OPEX majoritaire – main d’œuvre,250 000 €,10,Long terme,1
Encourager l’utilisation de matériaux alternatifs ou recyclés,"Session annuelle pour les équipes, agents d’accueil et responsables de site, avec consignes canicule, conduite à tenir en cas d’inondation et exercices pratiques. Les personnes concernées reconnaissent les signaux d’alerte et réagissent plus vite.",Stress Hydrique; Fortes pluies; Tempêtes; Chaleur extrême; Modif T° air,Organisationnelles,OPEX main d’œuvre,15 000 €,1,Moyen terme,0
Maintenir des stocks de matériaux essentiels et de ressources énergétiques,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Tous risques climatiques extrêmes; Tempêtes; Fortes pluies; Inondation fluviale; Inondation pluie; Chaleur extrême; Vague de gel,Technique,OPEX majoritaire – énergie,50 000 €,2,Moyen terme,0
Ajuster les quantités produites aux contextes locaux,"Climatisation limitée aux espaces critiques, avec consignes de température, horaires d’usage et suivi des consommations. Les activités sensibles restent possibles pendant les canicules sans surcharger inutilement le réseau électrique.",Modif T° air; Stress Hydrique; Chaleur extrême; Fortes pluies,Organisationnelles,OPEX majoritaire – section par défaut,15 000 €,1,Moyen terme,0
Adapter les circuits de distribution selon saisons et territoires,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Modif T° air; Stress Hydrique; Fortes pluies; Chaleur extrême,Organisationnelles,OPEX majoritaire – section par défaut,15 000 €,1,Moyen terme,1
Développer de nouvelles filières de traitement des déchets ultimes,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Tous risques climatiques extrêmes; Fortes pluies; Inondation pluie; Stress Hydrique; Chaleur extrême; Tempêtes,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Construire des digues pour protéger les infrastructures côtières ultramarines,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Tempêtes; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,4
Restaurer les écosystèmes côtiers protecteurs,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Tempêtes; Fortes pluies; Inondation pluie; Submersion marine; Biodiversité,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Développer une capacité d’adaptation proactive,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Tous risques climatiques extrêmes; Modif T° air; Fortes pluies; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur,Organisationnelles,Section par défaut,15 000 €,1,Moyen terme,4
Renforcer la coopération et expérimenter des solutions innovantes,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Tous risques climatiques extrêmes; Fortes pluies; Inondation fluviale; Inondation pluie; Tempêtes,Organisationnelles,OPEX main d’œuvre,15 000 €,1,Moyen terme,3
Rattacher l’adaptation aux politiques existantes de l’entreprise,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Tous risques climatiques extrêmes; Modif T° air; Fortes pluies; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur,Organisationnelles,Section par défaut,30 000 €,1,Moyen terme,1
Diagnostiquer les besoins de gestion de l’eau des sites,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Stress Hydrique; Fortes pluies; Inondation pluie,Organisationnelles,Capital humain,15 000 €,1,Moyen terme,0
Installer des sous-compteurs communicants,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des sécheresse.",Stress Hydrique; Modif T° air,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,7
Former les responsables techniques à la gestion de l’eau,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Stress Hydrique; Fortes pluies; Inondation pluie,Ressources humaines,Capital humain,30 000 €,1,Court terme,7
Réduire les rejets de polluants,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Stress Hydrique; Fortes pluies; Inondation pluie,Technique,OPEX majoritaire > eau,50 000 €,2,Moyen terme,7
Rénover des bâtiments industriels sans climatisation,"Sélection de deux fournisseurs alternatifs pour les achats stratégiques, avec vérification de leurs plans de continuité et de l’exposition de leurs sites. Les ruptures d’approvisionnement diminuent lorsqu’une inondation ou une canicule bloque un fournisseur principal.",Vague de chaleur; Chaleur extrême; Modif T° air; Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Récupérer la chaleur et flécher les flux d’air,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Vague de gel; Tous aléas climatiques,Technique,Capital humain,25 000 €,1,Long terme,0
Réutiliser l’eau dans plusieurs process,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Stress Hydrique,Technique,OPEX majoritaire > eau,50 000 €,2,Moyen terme,7
Déployer des tours adiabatiques en circuit fermé,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux fortes chaleurs, ce qui réduit les interruptions et les surcoûts.",Stress Hydrique; Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Recourir à la géothermie sur eau de nappe,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Vague de chaleur; Chaleur extrême; Vague de gel; Modif T° air; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Mobiliser un réseau de proximité pour les personnes vulnérables,"Organisation d’un exercice commun avec la commune, les voisins, les services de secours et les gestionnaires de réseaux. Les informations, lieux refuges et moyens matériels sont partagés plus vite lors d’un épisode extrême.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Tempêtes,Ressources humaines,OPEX main d’œuvre,25 000 €,1,Long terme,3
Restaurer des annexes fluviales et réouvrir des bras de rivière,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Inondation fluviale; Fortes pluies; Stress Hydrique,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Construire un schéma directeur de renaturation,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Inondation fluviale; Fortes pluies; Stress Hydrique; Modif T° air; Chaleur extrême,Fondées sur la nature,Capital humain,250 000 €,10,Long terme,6
Déployer des solutions fondées sur la nature,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Stress Hydrique; Modif T° air; Fortes pluies; Inondation pluie; Inondation fluviale; Chaleur extrême; Vague de chaleur; RGA,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Mettre en place un Plan d’Utilisation Rationnelle de l’Eau,"Organisation d’un exercice commun avec la commune, les voisins, les services de secours et les gestionnaires de réseaux. Les informations, lieux refuges et moyens matériels sont partagés plus vite lors d’un épisode extrême.",Stress Hydrique,Ressources humaines,OPEX main d’œuvre,50 000 €,2,Moyen terme,7
Réduire les prélèvements par des mesures graduées,"Session annuelle pour les équipes, agents d’accueil et responsables de site, avec consignes canicule, conduite à tenir en cas d’inondation et exercices pratiques. Les personnes concernées reconnaissent les signaux d’alerte et réagissent plus vite.",Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Réduire les consommations d’eau,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Stress Hydrique; Biodiversité,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Remplacer les tours aéroréfrigérantes par du refroidissement sec,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Stress Hydrique; Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Optimiser les produits lessiviels avec les fournisseurs,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les sécheresse menacent la continuité des activités.",Stress Hydrique,Technique,OPEX majoritaire > eau,50 000 €,2,Moyen terme,5
Surveiller la chaleur corporelle des salariés,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême,Technique,CAPEX majoritaire > court terme,250 000 €,10,Court terme,0
Planter des haies et palisses agroforestières,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Vague de chaleur; Chaleur extrême; Tempêtes; Stress Hydrique; Inondation fluviale; Fortes pluies,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Créer un guichet unique pour financer les haies,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Vague de chaleur; Tempêtes; Stress Hydrique; Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Chaleur extrême; Vague de gel,Financières,Capital humain,30 000 €,1,Moyen terme,6
Expérimenter la migration assistée d’essences végétales,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Modif T° air; Stress Hydrique; Chaleur extrême,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Déconnecter les réseaux publics et traiter les eaux à la parcelle,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation pluie; Inondation nappe; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Installer des cuves de récupération d’eau de pluie,"Création d’une ligne budgétaire dédiée à l’adaptation, couvrant diagnostics, travaux prioritaires et entretien renforcé. Les dépenses sont planifiées avant les dommages, ce qui évite des réparations urgentes plus coûteuses après un aléa climatique.",Stress Hydrique; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,1
"Végétaliser murs, toitures et voiries","Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Tempêtes,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Sécuriser l’eau potable par surpresseurs et vannes motorisées,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Stress Hydrique; Biodiversité,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Rechercher et réparer les fuites dans les réseaux,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Informer les usagers en temps réel sur l’eau,"Session annuelle pour les équipes, agents d’accueil et responsables de site, avec consignes canicule, conduite à tenir en cas d’inondation et exercices pratiques. Les personnes concernées reconnaissent les signaux d’alerte et réagissent plus vite.",Stress Hydrique,Ressources humaines,Capital humain,50 000 €,2,Court terme,5
Utiliser la récupération d’eau comme clause d’éco-conditionnalité,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Stress Hydrique; Fortes pluies,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,1
Cartographier les sites à risque hydrique,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Stress Hydrique,Organisationnelles,Section par défaut,50 000 €,2,Moyen terme,4
Mettre en place des prix internes de l’eau,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Stress Hydrique,Organisationnelles,OPEX majoritaire > eau,50 000 €,2,Moyen terme,7
Réaliser une pré-étude bibliographique sur le changement climatique local,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Fortes pluies; Inondation pluie; Stress Hydrique; Modif T° air,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Mettre en place des stations de lavage en boucle fermée,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Stress Hydrique,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,7
Créer une Toile de l’eau industrielle,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Stress Hydrique; Tempêtes,Technique,Capital humain,50 000 €,2,Moyen terme,7
Réaliser un diagnostic global des risques climatiques,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des tous aléas climatiques étudiés.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Organisationnelles,Section par défaut,30 000 €,1,Moyen terme,4
Cartographier les risques physiques,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Fortes pluies; Inondation fluviale; Inondation pluie; Modif T° air; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel; Biodiversité,Technique,OPEX main d’œuvre,50 000 €,2,Long terme,6
Mobiliser l’intelligence collective dans le diagnostic,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Tous aléas climatiques étudiés; Modif T° air; Chaleur extrême; Fortes pluies; Stress Hydrique,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,4
Intégrer la robustesse climatique dans les investissements,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les sécheresse menacent la continuité des activités.",Inondation fluviale; Inondation pluie; Vague de chaleur; Chaleur extrême; Vague de gel,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,4
Créer un outil interne de diagnostic de résilience des bâtiments,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les tous aléas climatiques étudiés menacent la continuité des activités.",Inondation fluviale; Inondation pluie; RGA; Vague de chaleur; Chaleur extrême; Vague de gel; Fortes pluies; Inondation nappe; Modif T° air; Stress Hydrique; Tempêtes,Technique,Section par défaut,250 000 €,10,Long terme,4
Analyser systématiquement l’exposition des actifs immobiliers,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux fortes chaleurs, ce qui réduit les interruptions et les surcoûts.",Inondation fluviale; Inondation pluie; Fortes pluies; Tempêtes; Vague de chaleur; Chaleur extrême; RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,4
Rénover et isoler thermiquement les écoles et EHPAD,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
Développer filières et achats responsables,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Stress Hydrique; Vague de chaleur; Chaleur extrême; Modif T° air; Fortes pluies; Tempêtes,Organisationnelles,OPEX main d’œuvre,50 000 €,2,Moyen terme,7
Intégrer l’adaptation dans une démarche ISO 14001,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Fortes pluies; Inondation pluie; Vague de chaleur; Chaleur extrême; Tempêtes; Stress Hydrique; Modif T° air,Organisationnelles,Section par défaut,30 000 €,1,Moyen terme,4
Concevoir des parcs immobiliers résilients,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes pluies et inondations menacent la continuité des activités.",Fortes pluies; Inondation pluie; Vague de chaleur; Chaleur extrême; Tempêtes; Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Cartographier et prioriser les risques climatiques par branche d’activité,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Fortes pluies; Inondation pluie; Modif T° air; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel; Tous aléas climatiques,Organisationnelles,OPEX main d’œuvre,50 000 €,2,Moyen terme,4
Formaliser une stratégie globale d’adaptation,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Tous aléas climatiques étudiés,Organisationnelles,Section par défaut,30 000 €,1,Moyen terme,4
Mettre en place une cartographie permanente des risques climatiques,"Adaptation des horaires pendant les canicules, bascule de certains cours ou réunions à distance et accès prioritaire aux espaces rafraîchis. Les salariés, prestataires et usagers restent protégés sans interrompre totalement les activités.",Vague de chaleur; Chaleur extrême; Inondation fluviale; Inondation pluie; Fortes pluies; Stress Hydrique; Tempêtes; Modif T° air; Vague de gel,Organisationnelles,CAPEX majoritaire > court terme,50 000 €,2,Court terme,4
Mettre en œuvre des actions sans regret pour la santé et la qualité produit,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Tempêtes; Modif T° air; Tous aléas climatiques,Fondées sur la nature,CAPEX majoritaire > court terme,250 000 €,10,Court terme,6
Créer une équipe dédiée à l’adaptation,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tous aléas climatiques étudiés; Tous aléas climatiques,Ressources humaines,OPEX main d’œuvre,15 000 €,1,Moyen terme,0
Évaluer la stratégie avec une méthodologie dédiée,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux fortes chaleurs, ce qui réduit les interruptions et les surcoûts.",Tous aléas climatiques étudiés,Organisationnelles,Section par défaut,30 000 €,1,Moyen terme,3
Adapter les sites vulnérables avec brumisateurs et filets UV,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Vague de chaleur; Chaleur extrême; RGA; Mouvements de terrain; Fortes pluies,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
