Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Temps,Score
"Prioriser les actions selon efficacité, faisabilité et acceptabilité","Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les tous aléas climatiques menacent la continuité des activités.",Tous aléas climatiques,Organisationnelles,Capital humain,15 000 €,1,Moyen terme,0
Mesurer l’efficacité par retours d’expérience et indicateurs,"Tableau de bord mensuel avec jours de fermeture liés à la chaleur, dégâts après pluie intense, incidents fournisseurs et coûts de maintenance climatique. Les tendances repérées déclenchent des ajustements rapides avant que les fragilités ne s’aggravent.",Tous aléas climatiques,Organisationnelles,OPEX majoritaire > énergie,30 000 €,1,Moyen terme,7
Limiter le recours unique à la climatisation,"Climatisation limitée aux espaces critiques, avec consignes de température, horaires d’usage et suivi des consommations. Les activités sensibles restent possibles pendant les canicules sans surcharger inutilement le réseau électrique.",Vague de chaleur; Chaleur extrême; Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Planter des arbres autour des magasins avec fosses de rétention,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique; Modif T° air; Tempêtes; Inondation fluviale; Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Dimensionner la gestion des eaux pluviales sur la parcelle,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Fortes pluies; Inondation pluie; Inondation nappe; Inondation fluviale,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Créer des ombrages et noues sur les parkings,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Suivre la variabilité météo pour piloter les ventes et les stocks,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tempêtes; Inondation pluie; Inondation fluviale; Fortes pluies; Modif T° air; Vague de chaleur; Vague de gel,Organisationnelles,CAPEX majoritaire > court terme,50 000 €,2,Court terme,0
Remplacer temporairement les productions en laboratoire par des produits prêts à l’emploi,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Vague de chaleur; Tempêtes; Fortes pluies; Chaleur extrême,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,0
Installer des dispositifs de brumisation et d’arrosage par eau de pluie en toiture,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Stress Hydrique,Technique,CAPEX majoritaire > court terme,250 000 €,10,Court terme,0
Aérer la nuit et brasser l’air via les ventelles de désenfumage,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Vague de chaleur; Chaleur extrême,Organisationnelles,OPEX majoritaire > énergie,15 000 €,1,Moyen terme,0
Sensibiliser les salariés au risque de déshydratation,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Vague de chaleur; Chaleur extrême,Humaines,Capital humain,25 000 €,1,Long terme,0
Installer un film réfléchissant sur verrière,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême,Technique,CAPEX majoritaire > court terme,250 000 €,10,Long terme,0
Renouveler les centrales de traitement d’air,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Améliorer l’isolation des entrepôts et remplacer les sas de quais,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Vague de gel; Tempêtes; Submersion marine,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Utiliser des pompes à chaleur à faibles émissions,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Modif T° air; Vague de chaleur; Vague de gel; Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Reprendre les pentes de voirie vers les noues et places drainantes,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Élaborer un plan ORSEC marchandises,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tempêtes; Inondation pluie; Vague de chaleur,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,Moyen terme,0
Renforcer la redondance des approvisionnements,"Sélection de deux fournisseurs alternatifs pour les achats stratégiques, avec vérification de leurs plans de continuité et de l’exposition de leurs sites. Les ruptures d’approvisionnement diminuent lorsqu’une inondation ou une canicule bloque un fournisseur principal.",Tempêtes; Inondation pluie; Vague de chaleur; Vague de gel,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,5
Mobiliser des formations et ressources documentaires spécialisées,"Session annuelle pour les équipes, agents d’accueil et responsables de site, avec consignes canicule, conduite à tenir en cas d’inondation et exercices pratiques. Les personnes concernées reconnaissent les signaux d’alerte et réagissent plus vite.",Tous aléas climatiques; Fortes pluies; Inondation fluviale; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Humaines,Capital humain,15 000 €,1,Court terme,10
Modifier les horaires de travail et normes d’habillement en milieu professionnel,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Vague de chaleur; Chaleur extrême,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,7
Mettre en place des systèmes d’alerte pour les visiteurs,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation fluviale; Inondation pluie; Tempêtes; Vents violents,Technique,CAPEX majoritaire > court terme,250 000 €,10,Court terme,0
Inscrire progressivement les actions d’adaptation dans les budgets,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux fortes chaleurs, ce qui réduit les interruptions et les surcoûts.",Tous aléas climatiques; Modif T° air; Chaleur extrême,Financières,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Surveiller l’état physique des bâtiments et zones de rétention,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",RGA; Fortes pluies; Inondation pluie; Inondation nappe; Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Installer un système de détection incendie en extérieur,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Chaleur extrême; Vague de chaleur; Stress Hydrique; Feux de forêt,Technique,Capital humain,50 000 €,2,Court terme,0
Créer une bande coupe-feu désherbée et débroussaillée autour du site,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Chaleur extrême; Vague de chaleur; Stress Hydrique,Organisationnelles,OPEX majoritaire > main d’œuvre,250 000 €,10,Long terme,0
Installer des capteurs intelligents dans les zones de stockage,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Chaleur extrême; Vague de chaleur; Fortes pluies; Inondation pluie; Inondation nappe; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Élaborer des protocoles flexibles de stockage selon les prévisions climatiques,"Scénario de crise testé avant l’été : bascule en télétravail, salles fraîches ouvertes, contact fournisseurs critiques et procédure de fermeture temporaire. Les équipes savent quoi faire lorsque chaleur, inondation ou tempête perturbent le fonctionnement normal.",Tempêtes; Chaleur extrême; Vague de chaleur; Fortes pluies,Organisationnelles,OPEX majoritaire > main d’œuvre,50 000 €,2,Moyen terme,1
Utiliser des contenants pour réactifs chimiques adaptés aux fortes chaleurs,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Chaleur extrême; Vague de chaleur; Modif T° air; Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe; Tempêtes,Technique,CAPEX majoritaire > court terme,250 000 €,10,Court terme,0
Mettre en place des réserves d’eau de pluie,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Chaleur extrême; Vague de chaleur; Stress Hydrique; Feux de forêt,Technique,CAPEX majoritaire > court terme,250 000 €,10,Long terme,0
Réviser les plans de contingence logistique et traitement,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tous risques climatiques extrêmes; Fortes pluies; Inondation fluviale; Inondation pluie; Inondation nappe; Tempêtes; Chaleur extrême; Vague de gel,Organisationnelles,OPEX majoritaire > main d’œuvre,250 000 €,10,Long terme,1
Connecter les capteurs d’émissions gazeuses à un système centralisé,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Chaleur extrême; Vague de chaleur; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > court terme,250 000 €,10,Court terme,0
Mettre en place un plan de sécurité et de continuité d’activité pour toute la chaîne,"Scénario de crise testé avant l’été : bascule en télétravail, salles fraîches ouvertes, contact fournisseurs critiques et procédure de fermeture temporaire. Les équipes savent quoi faire lorsque chaleur, inondation ou tempête perturbent le fonctionnement normal.",Tous risques climatiques extrêmes; Fortes pluies; Inondation fluviale; Inondation pluie; Tempêtes; Chaleur extrême; Vague de gel,Organisationnelles,OPEX majoritaire > main d’œuvre,250 000 €,10,Long terme,2
Assurer la continuité des collectes et du transport des déchets,"Scénario de crise testé avant l’été : bascule en télétravail, salles fraîches ouvertes, contact fournisseurs critiques et procédure de fermeture temporaire. Les équipes savent quoi faire lorsque chaleur, inondation ou tempête perturbent le fonctionnement normal.",Fortes pluies; Inondation fluviale; Inondation pluie; Inondation nappe; Tempêtes; Chaleur extrême; Vague de gel; Vague de chaleur; Modif T° air; RGA; Stress Hydrique; Non listé: feu; Non listé: submersion marine,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
"Maintenir un stock stratégique de pneus, filtres et pièces essentielles","Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Chaleur extrême; Vague de chaleur; Tempêtes; Vague de gel,Technique,Section par défaut,250 000 €,10,Court terme,10
Optimiser les itinéraires pour éviter les zones à risque,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes pluies et inondations menacent la continuité des activités.",Inondation fluviale; Inondation pluie; Inondation nappe; Fortes pluies; RGA; Tempêtes,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,0
Renforcer les effectifs lors des périodes de forte vulnérabilité,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Vague de chaleur; Chaleur extrême; Vague de gel; Tempêtes,Humaines,OPEX majoritaire > main d’œuvre,30 000 €,1,Moyen terme,0
Organiser les tâches les plus pénibles aux heures les plus fraîches,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Vague de chaleur; Chaleur extrême; Modif T° air,Organisationnelles,OPEX majoritaire > main d’œuvre,250 000 €,10,Long terme,0
Encourager l’utilisation de matériaux alternatifs ou recyclés,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Stress Hydrique; Fortes pluies; Tempêtes; Chaleur extrême; Modif T° air,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,0
Maintenir des stocks de matériaux essentiels et de ressources énergétiques,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Tous risques climatiques extrêmes; Tempêtes; Fortes pluies; Inondation fluviale; Inondation pluie; Chaleur extrême; Vague de gel,Technique,OPEX majoritaire > énergie,50 000 €,2,Moyen terme,0
Ajuster les quantités produites aux contextes locaux,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Modif T° air; Stress Hydrique; Chaleur extrême; Fortes pluies,Organisationnelles,Section par défaut,15 000 €,1,Moyen terme,0
Adapter les circuits de distribution selon saisons et territoires,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Modif T° air; Stress Hydrique; Fortes pluies; Chaleur extrême,Organisationnelles,Section par défaut,15 000 €,1,Moyen terme,0
Développer de nouvelles filières de traitement des déchets ultimes,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Tous risques climatiques extrêmes; Fortes pluies; Inondation pluie; Stress Hydrique; Chaleur extrême; Tempêtes,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Construire des digues pour protéger les infrastructures côtières ultramarines,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Tempêtes; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Restaurer les écosystèmes côtiers protecteurs,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Tempêtes; Fortes pluies; Inondation pluie; Submersion marine; Biodiversité,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Développer une capacité d’adaptation proactive,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tous risques climatiques extrêmes; Modif T° air; Fortes pluies; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur,Organisationnelles,Section par défaut,15 000 €,1,Moyen terme,0
Renforcer la coopération et expérimenter des solutions innovantes,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes pluies et inondations menacent la continuité des activités.",Tous risques climatiques extrêmes; Fortes pluies; Inondation fluviale; Inondation pluie; Tempêtes,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,0
Rattacher l’adaptation aux politiques existantes de l’entreprise,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tous risques climatiques extrêmes; Modif T° air; Fortes pluies; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur,Organisationnelles,Section par défaut,30 000 €,1,Moyen terme,0
Diagnostiquer les besoins de gestion de l’eau des sites,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes pluies et inondations menacent la continuité des activités.",Stress Hydrique; Fortes pluies; Inondation pluie,Organisationnelles,Capital humain,15 000 €,1,Moyen terme,0
Installer des sous-compteurs communicants,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Stress Hydrique; Modif T° air,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,0
Former les responsables techniques à la gestion de l’eau,"Session annuelle pour les équipes, agents d’accueil et responsables de site, avec consignes canicule, conduite à tenir en cas d’inondation et exercices pratiques. Les personnes concernées reconnaissent les signaux d’alerte et réagissent plus vite.",Stress Hydrique; Fortes pluies; Inondation pluie,Humaines,Capital humain,30 000 €,1,Court terme,10
Réduire les rejets de polluants,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Stress Hydrique; Fortes pluies; Inondation pluie,Technique,OPEX majoritaire > eau,50 000 €,2,Moyen terme,0
Rénover des bâtiments industriels sans climatisation,"Climatisation limitée aux espaces critiques, avec consignes de température, horaires d’usage et suivi des consommations. Les activités sensibles restent possibles pendant les canicules sans surcharger inutilement le réseau électrique.",Vague de chaleur; Chaleur extrême; Modif T° air; Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Récupérer la chaleur et flécher les flux d’air,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Vague de gel; Tous aléas climatiques,Technique,Capital humain,25 000 €,1,Long terme,0
Réutiliser l’eau dans plusieurs process,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Stress Hydrique,Technique,OPEX majoritaire > eau,50 000 €,2,Moyen terme,0
Déployer des tours adiabatiques en circuit fermé,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Stress Hydrique; Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Recourir à la géothermie sur eau de nappe,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Vague de gel; Modif T° air; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Mobiliser un réseau de proximité pour les personnes vulnérables,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Tempêtes,Humaines,OPEX majoritaire > main d’œuvre,25 000 €,1,Long terme,0
Restaurer des annexes fluviales et réouvrir des bras de rivière,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Inondation fluviale; Fortes pluies; Stress Hydrique,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Construire un schéma directeur de renaturation,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Inondation fluviale; Fortes pluies; Stress Hydrique; Modif T° air; Chaleur extrême,Solutions fondées sur la nature,Capital humain,250 000 €,10,Long terme,6
Déployer des solutions fondées sur la nature,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Stress Hydrique; Modif T° air; Fortes pluies; Inondation pluie; Inondation fluviale; Chaleur extrême; Vague de chaleur; RGA,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Mettre en place un Plan d’Utilisation Rationnelle de l’Eau,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des sécheresse.",Stress Hydrique,Humaines,OPEX majoritaire > main d’œuvre,50 000 €,2,Moyen terme,0
Réduire les prélèvements par des mesures graduées,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Remplacer les tours aéroréfrigérantes par du refroidissement sec,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Stress Hydrique; Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Optimiser les produits lessiviels avec les fournisseurs,"Sélection de deux fournisseurs alternatifs pour les achats stratégiques, avec vérification de leurs plans de continuité et de l’exposition de leurs sites. Les ruptures d’approvisionnement diminuent lorsqu’une inondation ou une canicule bloque un fournisseur principal.",Stress Hydrique,Technique,OPEX majoritaire > eau,50 000 €,2,Moyen terme,5
Surveiller la chaleur corporelle des salariés,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême,Technique,CAPEX majoritaire > court terme,250 000 €,10,Court terme,0
Planter des haies et palisses agroforestières,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Tempêtes; Stress Hydrique; Inondation fluviale; Fortes pluies,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Créer un guichet unique pour financer les haies,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux fortes chaleurs, ce qui réduit les interruptions et les surcoûts.",Vague de chaleur; Tempêtes; Stress Hydrique; Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Chaleur extrême; Vague de gel,Financières,Capital humain,30 000 €,1,Moyen terme,0
Expérimenter la migration assistée d’essences végétales,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Modif T° air; Stress Hydrique; Chaleur extrême,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Déconnecter les réseaux publics et traiter les eaux à la parcelle,"Organisation d’un exercice commun avec la commune, les voisins, les services de secours et les gestionnaires de réseaux. Les informations, lieux refuges et moyens matériels sont partagés plus vite lors d’un épisode extrême.",Fortes pluies; Inondation pluie; Inondation nappe; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Installer des cuves de récupération d’eau de pluie,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Stress Hydrique; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,0
"Végétaliser murs, toitures et voiries","Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Sécuriser l’eau potable par surpresseurs et vannes motorisées,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Stress Hydrique; Biodiversité,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Rechercher et réparer les fuites dans les réseaux,"Organisation d’un exercice commun avec la commune, les voisins, les services de secours et les gestionnaires de réseaux. Les informations, lieux refuges et moyens matériels sont partagés plus vite lors d’un épisode extrême.",Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Informer les usagers en temps réel sur l’eau,"Session annuelle pour les équipes, agents d’accueil et responsables de site, avec consignes canicule, conduite à tenir en cas d’inondation et exercices pratiques. Les personnes concernées reconnaissent les signaux d’alerte et réagissent plus vite.",Stress Hydrique,Humaines,Capital humain,50 000 €,2,Court terme,10
Utiliser la récupération d’eau comme clause d’éco-conditionnalité,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Stress Hydrique; Fortes pluies,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,0
Cartographier les risques physiques,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation pluie; Modif T° air; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel; Biodiversité,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,Long terme,6
